Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2/15/2018,30,1050,601398.SH,1234093.936,0.08,6.88,6.9,6.73,6.79,1.18,6.8,1805734.19,0.489218716,0.432144927,6.63,94.28,11.32,11.74,3.642442,8.57222,1.145264,3.425671,0.00067,2.45E+12,0.01176,8.00E-06,6.782,6.757857143,7.210952381,0.398148346,8.007249073,6.414655689,30.1980198,6.961032719,7.048468173,-0.087435454,-0.009995115,-66.41791045,33.58208955,31.5920398,37.56218905,0,0,0,0,0.17,8.625,35.5,60.90651558,48.46214307,,5.88
2/16/2018,31,1049,601398.SH,1633707.173,0.119191809,6.984822169,7.013652171,6.818627148,6.826291156,1.329246477,6.844776958,2149524.697,0.505644359,0.465011607,6.699194912,95.00503273,11.46567009,11.77974073,3.626594196,8.651322265,1.157519072,3.433692077,0.000725455,2.48E+12,0.016637797,8.00E-06,6.830964434,6.801403167,7.192610579,0.398440652,7.989491884,6.395729275,34.95766917,6.964692634,7.043753654,-0.07906102,-0.023808296,-58.59536052,41.40463948,36.18960619,51.83470605,0.113652171,0.088627148,0.113652171,0,0.195025023,11.56744706,35.30873051,50.64679903,48.90279929,,5.984822169
2/17/2018,32,1048,601398.SH,1724113.986,0.119766509,6.998441355,7.015890067,6.857283005,7.013303077,1.562472531,6.846793256,2497638.34,0.423867463,0.500030039,6.749922935,95.15904484,11.49208164,11.86632055,3.613475372,8.700882128,1.163287685,3.452494689,0.000890609,2.49E+12,0.017302659,8.00E-06,6.908652705,6.841894789,7.17396493,0.398994848,7.971954626,6.375975233,31.56469595,6.969884745,7.040397187,-0.070512442,-0.033149125,-57.57900339,42.42099661,39.13590855,48.99117273,0.002237896,0.038655858,0,0.038655858,0.158607061,10.28179679,37.57623679,57.03209673,50.45038808,,5.998441355
2/18/2018,33,1047,601398.SH,1787196.534,0.119851963,6.999550542,7.046174654,6.86424926,7.025560872,1.634484404,6.868733181,2526762.256,0.482240551,0.529362706,6.849152412,95.92322653,11.49517051,11.86721653,3.587443222,8.714415242,1.16395854,3.471951624,0.00093126,2.49E+12,0.017360147,8.00E-06,6.948562813,6.878973438,7.158467336,0.395623537,7.949714411,6.367220262,33.86792088,6.974448714,7.03737151,-0.062922796,-0.039103859,-57.49622823,42.50377177,42.10980262,43.29171008,0.030284587,0.006966254,0.030284587,0,0.181925395,11.24334426,37.62456522,53.9847545,52.22808555,,5.999550542
2/19/2018,34,1046,601398.SH,1787265.231,0.119948531,6.999821338,7.053105445,6.918178913,7.029238163,1.68380075,6.875734144,2531898.998,0.520730936,0.596592912,6.867197684,96.05675241,11.49983189,11.86923165,3.581301864,8.719206133,1.165050608,3.478006926,0.000938792,2.49E+12,0.017378384,8.00E-06,6.972527081,6.9346622,7.137982638,0.395548072,7.929078783,6.346886493,27.26485149,6.978352194,7.034590016,-0.056237821,-0.042530652,-54.04666632,45.95333368,43.62603402,50.60793299,0.006930791,0.053929654,0,0.053929654,0.134926532,8.73141855,40.95653066,64.85498521,55.54120324,,5.999821338
2/20/2018,35,1045,601398.SH,1787893.856,0.11998577,6.999863717,7.059237123,6.957184585,7.029790379,1.708812646,6.877485391,2538057.628,0.486860952,0.001450159,6.867397796,96.12312971,11.49989724,11.86936203,3.580755214,8.72120019,1.165151943,3.485214645,0.000939711,2.49E+12,0.017383001,8.00E-06,6.996499824,6.96321416,7.124642815,0.387737223,7.900117261,6.34916837,30.60581141,6.981661659,7.032017697,-0.050356038,-0.044095729,-54.0432486,45.9567514,44.80461895,48.26101629,0.006131678,0.039005672,0,0.039005672,0.102052538,9.106118339,42.10517171,64.43706717,57.53301345,,5.999863717
2/21/2018,36,1044,601398.SH,1556128.238,0.064974266,7.004910669,7.046552722,6.924089457,7.029619082,0.911900375,6.937867072,2213471.024,0.589218944,0.500422137,6.858598842,96.43337621,11.47991595,11.98961583,3.578097432,8.726700566,1.165977304,3.484203963,0.000819396,2.50E+12,0.009404192,7.50E-06,7.000517524,6.981058541,7.102019514,0.363868111,7.829755736,6.374283292,43.95651552,6.98523843,7.030009769,-0.044771339,-0.044230851,-11.5522048,88.4477952,60.11929342,145.1047987,-0.0126844,0.033095129,0,0.033095129,0.122463266,10.82540614,37.40297867,55.10773922,58.28511531,,6.004910669
2/22/2018,37,1043,601398.SH,1789568.288,0.12,7,7.08,6.96,7.03,1.74,6.88,2546631.05,0.509843556,0.662211687,6.87,96.2,11.5,11.87,3.58,8.721736,1.16524,3.485422,0.00094,2.49E+12,0.01744,8.00E-06,7.000829253,6.998201398,7.069638561,0.342232964,7.754104489,6.385172633,62.33178524,6.987509441,7.027786823,-0.040277383,-0.043440157,-12.30769231,87.69230769,74.03228476,115.0123536,0.033447278,0.035910543,0,0.035910543,0.12,11.9367597,30.82117538,44.16587389,57.94775709,,6
2/23/2018,38,1042,601398.SH,1324991.245,0.01,7.01,7.04,6.93,7.03,0.14,7,1895043.05,0.423827667,0.710140636,6.85,96.81,11.46,12.11,3.574893,8.734195,1.166904,3.490401,0.0007,2.50E+12,0.00143,7.00E-06,7.002919145,7.001798231,7.041543323,0.30350308,7.648549483,6.434537163,77.50819113,6.990969527,7.026469281,-0.035499754,-0.041852077,-12.5,87.5,87.8800343,86.73993141,-0.04,0.03,0,0.03,0.11,12.81374619,23.69783262,29.80995833,56.35680174,,6.01
2/24/2018,39,1041,601398.SH,1881763.48,0.065,7.01,7.125,6.95,7.045,0.94,6.945,2675563.735,0.572606258,0.705358707,6.91,96.7,11.6,12.145,3.5749005,8.7341955,1.1669045,3.490401,0.00099,2.50E+12,0.009435,7.50E-06,7.004954877,7.003449466,7.007971895,0.27150294,7.550977775,6.464966014,76.11445252,6.993897292,7.025249334,-0.031352042,-0.03975207,-19.00826446,80.99173554,85.39468108,72.18584446,0.085,0.02,0.085,0,0.175,17.08508735,17.37031638,0.82782089,52.44767783,,6.01
