userId,userName,gz_num,fs_num,intro,age
2.19E+15,经济观察报,0,27614,《经济观察报》总能在最恰当的时点与您分享最有价值的财经资讯和商业思想。,2.9年
9.61E+15,hgf667788,7,370,新经济，人工智能，独角兽,6.4年
7.55E+15,WFc一个,0,31,这个人很懒，但是坚强,1.2年
7.35E+15,基民8pz5Gm,2,5,这个人很懒，什么都没有留下,2.4年
2.75E+15,股友hks7kG,1,0,这个人很懒，什么都没有留下,1.1年
7.34E+15,逻集_小程序,0,25,逻集：更快速简洁地看尽每只股票当下涨跌的所有逻辑,6个月
3.42E+15,紫华安,0,27,这个人很懒，什么都没有留下,2.1年
8.65E+15,长牛10年,25,2,价值投资，喜欢凯恩斯，对中盘股情有独钟。,6.1年
5.85E+15,股友JI6bBy理,4,1,这个人很懒，什么都没有留下,1.5年
2.39E+15,股友RkGxpt,21,4,这个人很懒，什么都没有留下,6.8年
5.41E+15,狐狸会翻筋斗,25,11,这个人很懒，什么都没有留下,2.3年
5.90E+15,韭菜回本梦,17,1,这个人很懒，什么都没有留下,1.4年
9.61E+15,hgf667788,7,370,新经济，人工智能，独角兽,6.4年
3.22E+15,up偶333333,0,30,,6个月
3.48E+15,小新鲜韭菜,8,4,这个人很懒，什么都没有留下,2年
2.80E+15,西楚霸王者荣耀,18,0,这个人很懒，什么都没有留下,2.2年
7.43E+15,宏图大展宏达,0,0,这个人很懒，什么都没有留下,1年
4.76E+15,寻找诗的远方,0,585,这个人很懒，什么都没有留下,4.4年
6.78E+15,悠然_youran,0,1,这个人很懒，什么都没有留下,2.8年
8.54E+15,n1432574786ef82e,6,36,,6.2年
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
5.59E+15,财经早餐,0,66713,财经早餐每天早上为您提供最新鲜、最全面、最专业的财经资讯，专注财经资讯领域的领头羊！,3.6年
1.20E+15,股友蓝胖子,9,4319,蓝胖子每日紫金复盘,2.6年
4.56E+15,大猫好规划,0,6010,客观，专业，中立的保险知识。,1.7年
5.78E+15,V金不换,0,19,低价、业绩弹性、国企壳资源、成长、趋势投资,6个月
6.76E+15,八方四海的游坦之,9,5,这个人很懒，什么都没有留下,3.9年
4.79E+15,每日财报,55,18880,我们与投资者一起读财报，发现新时代的优秀企业，共同学习，共同成长。,2.2年
4.27E+15,股友s7mHhK,3,0,这个人很懒，什么都没有留下,9个月
3.09E+15,小司聊理财,0,130,小司聊理财，财富滚滚来，每天三分钟，轻松学理财。,3.3年
4.58E+15,KK小迷妹,2,30,万物皆苦，但我很甜。?,10个月
5.78E+15,V金不换,0,19,低价、业绩弹性、国企壳资源、成长、趋势投资,6个月
5.89E+15,拉萨短线小王子,2,40,这个人很懒，什么都没有留下,1.5年
4.54E+15,股市胖虎,10,16943,股市胖虎 畅行无阻,2.1年
7.49E+15,金银来财de刘正风,1,27,这个人很懒，什么都没有留下,5.2年
5.09E+15,最后一个菜鸟,0,0,这个人很懒，什么都没有留下,2.4年
5.56E+15,宁错过不涉险,29,22,这个人很懒，什么都没有留下,6.1年
7.94E+15,股友633Z59C860,93,69,衣服的颜色都好看！守门员云贵川，,1.3年
2.37E+15,两融追踪,0,5578,AI解读融资融券数据。,3年
9.17E+15,嘻哈小韭菜,12,1,年少岂无英雄志，莫到白头悔已迟。。。,2.9年
1.52E+15,海虹沉浮,16,1472,成了萧何，败也萧何,2.2年
3.94E+15,发家11,0,1,这个人很懒，什么都没有留下,2.7年
1.91E+15,懂财帝,65,86,资深投行，资深投资人打造。,3.4年
8.81E+15,白语姬,28,442,这个人很懒，什么都没有留下,1.2年
2.92E+15,股友p0wCuD,6,12,这个人很懒，什么都没有留下,2年
7.45E+15,地產企業HR副總監,18,202,股海踏浪，游刃有余。,5.4年
8.01E+15,菡蕊亭,0,724,?Amen！伯克希尔云天上，彩云之南哈撒韦。1??Fine！白茅浮绿水，红涨拨清波。2??Okay！天高任鸟飞，海阔凭鱼跃。3??Good！海上生明月，天涯共此时。?Ouye！,2年
3.09E+15,小司聊理财,0,130,小司聊理财，财富滚滚来，每天三分钟，轻松学理财。,3.3年
8.77E+15,IIIIIIIIIIIIIII,0,2,这个人很懒，什么都没有留下,3.5年
3.70E+15,保契原创,38,12,忠实记录银行保险业之人、之事,9个月
9.38E+15,华安基金,5,140138,“老十家”公募，金牛基金公司，绩优权益基金多，累计分红超730亿。,4年
8.32E+15,方圆2015004,10,15,这个人很懒，什么都没有留下,2.3年
1.40E+15,枫叶2000,18,18,这个人很懒，什么都没有留下,2.6年
3.05E+15,拉稀酒,22,10,垃圾股，多如牛毛，赚一百，亏几千的中国股市,2.3年
1.53E+15,券商中国,0,52806,致力于提供最及时的财经资讯，最专业的解读分析，覆盖宏观经济、金融机构、A股市场、上市公司、投资理财等财经领域。,3.5年
1.52E+15,海虹沉浮,16,1472,成了萧何，败也萧何,2.2年
1.83E+15,青云山雾罩,27,34,这个人很懒，什么都没有留下,4.5年
8.55E+15,大猫财经,0,45595,大猫财经，专注于股票常识与知识传播。,4.6年
4.54E+15,股市胖虎,10,16943,股市胖虎 畅行无阻,2.1年
5.89E+15,叨叨叨一道一,3,0,这个人很懒，什么都没有留下,2.3年
9.49E+15,价值投资记心间,11,13,只买龙头,1.3年
9.26E+15,鲨鱼投资者,0,341,鲨鱼投资者：职业投资者，钟爱可转债。,1.2年
8.76E+15,慧眼掘金88号,69,44,这个人很懒，什么都没有留下,4年
4.29E+15,说好的牛呢我日,1,0,任你天翻地覆我依然巍然不动,2.3年
